CONTAINER ID   IMAGE                                                   COMMAND                  CREATED        STATUS                   PORTS                                                                                                                                                                          NAMES
3d1e480e1868   vulhub/liferay-portal:7.2.0-ga1                         "/bin/sh -c /usr/loc…"   7 hours ago    Up 7 hours (healthy)     8000/tcp, 8009/tcp, 11311/tcp, 0.0.0.0:8197->8080/tcp, [::]:8197->8080/tcp                                                                                                     cve-2020-7961-web-1
899ba8adfe50   vulhub/struts2:2.5.25                                   "/usr/local/bin/mvn-…"   7 hours ago    Up 7 hours               0.0.0.0:8080->8080/tcp, [::]:8080->8080/tcp                                                                                                                                    s2-061-struts2-1
c0d7c53bcfda   vulhub/spring-cloud-gateway:3.1.0                       "java -Djava.securit…"   7 hours ago    Up 7 hours               0.0.0.0:8251->5005/tcp, [::]:8251->5005/tcp, 0.0.0.0:8118->8080/tcp, [::]:8118->8080/tcp                                                                                       cve-2022-22947-spring-1
b5fa15486666   vulhub/spring-webmvc:5.3.17                             "catalina.sh run"        7 hours ago    Up 7 hours               0.0.0.0:8120->8080/tcp, [::]:8120->8080/tcp                                                                                                                                    cve-2022-22965-spring-1
c607125bcc3b   vulhub/spring-cloud-function:3.2.2                      "java -Djava.securit…"   7 hours ago    Up 7 hours               0.0.0.0:8119->8080/tcp, [::]:8119->8080/tcp                                                                                                                                    cve-2022-22963-spring-1
c0694c01612e   vulhub/weblogic:12.2.1.3-2018                           "/u01/oracle/createA…"   7 hours ago    Up 7 hours               0.0.0.0:8108->7001/tcp, [::]:8108->7001/tcp                                                                                                                                    cve-2018-2894-weblogic-1
5833acd2941c   vulhub/postgres:10.7                                    "docker-entrypoint.s…"   7 hours ago    Up 7 hours               0.0.0.0:8253->5432/tcp, [::]:8253->5432/tcp                                                                                                                                    cve-2019-9193-postgres-1
97a90d63450c   cve-2017-12615-tomcat                                   "catalina.sh run"        7 hours ago    Up 7 hours               0.0.0.0:8150->8080/tcp, [::]:8150->8080/tcp                                                                                                                                    cve-2017-12615-tomcat-1
65522325b3e3   vulhub/dubbo:2.7.3                                      "bash /docker-entryp…"   7 hours ago    Up 7 hours               0.0.0.0:8131->8080/tcp, [::]:8131->8080/tcp                                                                                                                                    cve-2019-17564-provider-1
fca011e712fd   zookeeper:3.7.0                                         "/docker-entrypoint.…"   7 hours ago    Up 7 hours               2888/tcp, 3888/tcp, 8080/tcp, 0.0.0.0:8234->2181/tcp, [::]:8234->2181/tcp                                                                                                      cve-2019-17564-zookeeper-1
